Plot,Line,1hr,10hr,100hr,Notes
HCS-02,3,285,11,7,NA
HCS-02,4,215,24,13,NA
HCS-04,1,71,22,2,NA
HCS-04,2,29,10,0,NA
HCS-04,3,31,3,1,NA
HCS-04,4,15,20,0,NA
HCS-06,1,211,34,13,NA
HCS-06,2,350,50,17,NA
HCS-06,3,131,21,12,NA
HCS-06,4,68,6,3,NA
QTZ-01,1,23,9,6,NA
QTZ-01,2,74,22,4,NA
QTZ-01,3,24,15,3,NA
QTZ-01,4,40,14,5,NA
QTZ-02,1,61,2,1,NA
QTZ-02,2,65,7,2,NA
QTZ-02,3,36,0,2,NA
QTZ-02,4,86,8,5,NA
REP-01,1,36,3,4,NA
REP-01,2,168,9,4,NA
REP-01,3,247,16,7,NA
REP-01,4,107,5,9,NA
REP-02,1,38,20,11,NA
REP-02,2,20,23,12,NA
REP-02,3,77,18,16,NA
REP-02,4,54,5,6,NA
BBM-01,1,87,10,1,NA
BBM-01,2,102,17,8,NA
BBM-01,3,216,5,0,NA
BBM-01,4,66,13,4,NA
BBM-02,1,166,32,6,NA
BBM-02,2,67,4,2,NA
BBM-02,3,361,62,7,NA
BBM-02,4,197,14,0,NA
BBM-03,1,48,10,1,NA
BBM-03,2,97,14,2,NA
BBM-03,3,49,7,11,NA
BBM-03,4,29,5,0,NA
BBO-01,1,107,19,10,NA
BBO-01,2,182,39,1,NA
BBO-01,3,114,21,9,NA
BBO-01,4,73,29,10,NA
SPE-01,1,75,8,4,NA
SPE-01,2,80,23,4,NA
SPE-01,3,27,19,5,NA
SPE-01,4,67,29,12,NA
SPE-02,1,76,21,10,NA
SPE-02,2,20,4,4,NA
SPE-02,3,140,17,2,NA
SPE-02,4,69,8,2,NA
SPE-03,1,49,22,3,NA
SPE-03,2,74,12,5,NA
SPE-03,3,76,16,3,NA
SPE-03,4,27,12,4,NA
SPE-04,1,44,18,5,NA
SPE-04,2,29,4,2,NA
SPE-04,3,35,38,3,NA
SPE-04,4,19,7,0,NA
Bear-01,1,112,15,2,NA
Bear-01,2,24,12,3,NA
Bear-01,3,97,2,1,NA
Bear-01,4,100,14,4,NA
JCK-01,1,41,1,1,NA
JCK-01,2,43,2,0,NA
JCK-01,3,41,2,4,NA
JCK-01,4,28,5,5,NA
HTL-01,1,34,3,4,NA
HTL-01,2,67,2,0,NA
HTL-01,3,16,7,5,NA
HTL-01,4,36,5,3,NA
HTL-02,1,51,22,8,NA
HTL-02,2,57,10,13,NA
HTL-02,3,49,5,4,NA
HTL-02,4,81,18,2,NA
HTL-03,1,145,5,8,NA
HTL-03,2,185,17,1,NA
HTL-03,3,70,11,2,NA
HTL-03,4,106,22,9,NA
HTL-04,1,21,24,2,NA
HTL-04,2,110,3,2,NA
HTL-04,3,71,11,1,NA
HTL-04,4,112,31,4,NA
HTL-10,1,91,23,2,NA
HTL-10,2,189,13,1,NA
HTL-10,3,53,19,1,NA
HTL-10,4,184,7,3,NA
HTL-12,1,187,15,2,NA
HTL-12,2,79,8,5,NA
HTL-12,3,143,12,6,NA
HTL-12,4,60,6,6,NA
KT-01,1,113,6,2,NA
KT-01,2,56,7,0,NA
KT-01,3,67,12,7,NA
KT-01,4,98,8,5,NA
KT-02,1,56,13,8,NA
KT-02,2,48,14,7,NA
KT-02,3,134,67,46,NA
KT-02,4,82,33,11,NA
STC-01,1,186,10,4,NA
STC-01,2,69,5,5,NA
STC-01,3,85,9,2,NA
STC-01,4,220,18,3,NA
STC-02,1,45,15,5,NA
STC-02,2,21,2,2,NA
STC-02,3,49,13,4,NA
STC-02,4,40,9,6,NA
STC-03,1,66,7,2,NA
STC-03,2,64,29,10,NA
STC-03,3,86,4,5,NA
STC-03,4,63,31,7,NA
