Plot,Line,1hr,10hr,100hr,Notes
Blue-01,1,82,9,2,NA
Blue-01,2,73,5,0,NA
Blue-01,3,128,5,1,NA
Blue-01,4,53,5,0,NA
Blue-02,1,75,13,3,NA
Blue-02,2,59,37,9,NA
Blue-02,3,100,34,4,NA
Blue-02,4,114,17,12,NA
IAE-01,1,60,21,3,NA
IAE-01,2,91,14,0,NA
IAE-01,3,25,2,2,NA
IAE-01,4,20,11,3,NA
IAE-02,1,111,15,8,NA
IAE-02,2,110,14,8,NA
IAE-02,3,124,23,4,NA
IAE-02,4,130,18,0,NA
IAB-01,1,123,17,3,NA
IAB-01,2,88,20,7,NA
IAB-01,3,213,21,7,NA
IAB-01,4,175,30,4,NA
BWC-01,1,43,12,0,NA
BWC-01,2,9,2,1,transect crosses an intermittent stream
BWC-01,3,94,11,7,NA
BWC-01,4,9,9,6,NA
BWU-01,1,32,14,4,NA
BWU-01,2,35,33,15,NA
BWU-01,3,66,38,27,NA
BWU-01,4,23,9,1,NA
BWU-02,1,130,26,2,NA
BWU-02,2,58,18,13,NA
BWU-02,3,95,31,20,NA
BWU-02,4,82,14,14,NA
PTR-02,1,47,21,13,NA
PTR-02,2,85,15,13,NA
PTR-02,3,85,21,8,NA
PTR-02,4,65,22,4,NA
LG-01,1,109,21,4,NA
LG-01,2,54,14,2,NA
LG-01,3,148,38,2,NA
LG-01,4,82,27,4,NA
ORL-01,1,182,17,4,NA
ORL-01,2,137,20,10,NA
ORL-01,3,135,1,7,NA
ORL-01,4,82,13,2,NA
PAN-01,1,75,16,2,NA
PAN-01,2,42,19,3,NA
PAN-01,3,98,8,2,NA
PAN-01,4,26,14,2,NA
PAN-02,1,118,8,3,NA
PAN-02,2,173,20,12,NA
PAN-02,3,202,37,4,NA
PAN-02,4,184,44,19,NA
PAN-03,1,108,23,4,NA
PAN-03,2,70,22,4,NA
PAN-03,3,215,13,1,NA
PAN-03,4,113,21,16,NA
LOM-01,1,49,3,2,NA
LOM-01,2,107,19,5,NA
LOM-01,3,118,11,3,NA
LOM-01,4,70,10,0,NA
LOM-02,1,215,29,3,NA
LOM-02,2,111,14,2,NA
LOM-02,3,83,11,2,NA
LOM-02,4,61,14,7,NA
STN-01,1,135,11,4,NA
STN-01,2,121,16,6,NA
STN-01,3,11,6,3,NA
STN-01,4,140,17,3,NA
STN-03,1,229,39,6,NA
STN-03,2,152,21,2,NA
STN-03,3,157,16,17,NA
STN-03,4,179,25,8,NA
BIS-01,1,115,4,0,NA
BIS-01,2,104,14,10,NA
BIS-01,3,53,10,9,NA
BIS-01,4,52,8,2,NA
BIS-02,1,247,31,5,NA
BIS-02,2,195,22,7,NA
BIS-02,3,81,8,8,NA
BIS-02,4,187,29,7,NA
BIS-03,1,83,8,3,NA
BIS-03,2,77,17,13,NA
BIS-03,3,65,19,9,NA
BIS-03,4,66,9,5,NA
BIS-04,1,498,13,4,NA
BIS-04,2,486,3,3,NA
BIS-04,3,156,21,10,NA
BIS-04,4,147,19,2,NA
BIS-05,1,65,12,7,NA
BIS-05,2,42,14,11,NA
BIS-05,3,32,15,6,NA
BIS-05,4,56,18,6,NA
BIS-06,1,35,12,5,NA
BIS-06,2,27,12,1,NA
BIS-06,3,20,5,2,NA
BIS-06,4,49,25,6,NA
BIS-07,1,61,22,6,NA
BIS-07,2,58,4,1,NA
BIS-07,3,28,10,1,NA
BIS-07,4,108,59,12,NA
BIS-10,1,182,15,10,NA
BIS-10,2,108,26,8,NA
BIS-10,3,186,10,7,NA
BIS-10,4,174,27,11,NA
BIS-11,1,40,3,1,NA
BIS-11,2,28,5,0,NA
BIS-11,3,137,19,5,NA
BIS-11,4,42,5,5,NA
BIS-12,1,70,6,1,NA
BIS-12,2,217,13,2,NA
BIS-12,3,175,12,3,NA
BIS-12,4,164,31,8,NA
HCS-01,1,60,35,30,NA
HCS-01,2,70,17,10,NA
HCS-01,3,35,35,16,NA
HCS-01,4,60,19,22,NA
HCS-02,1,408,12,5,NA
HCS-02,2,266,10,14,NA
