Plot,Subplot,Species,DBH,Status,Postfire,Class,Height,CBH,Notes
Blue-01,2,LIDE3,21.8,X,NA,NA,NA,NA,NA
Blue-01,3,LIDE3,13.6,X,NA,NA,NA,NA,NA
Blue-01,4,LIDE3,25.2,X,NA,NA,NA,NA,NA
Blue-01,4,LIDE3,14.7,X,NA,NA,NA,NA,NA
Blue-01,7,PSME,61,X,NA,NA,NA,NA,NA
Blue-01,7,PSME,13.5,X,NA,NA,NA,NA,NA
Blue-01,7,LIDE3,13.9,X,NA,NA,NA,NA,NA
Blue-01,7,LIDE3,20.2,X,NA,NA,NA,NA,NA
Blue-01,8,PSME,74.1,X,NA,NA,NA,NA,NA
Blue-01,8,PSME,63.7,X,NA,NA,NA,NA,NA
Blue-01,8,PSME,46.4,X,NA,NA,NA,NA,NA
Blue-01,1,LIDE3,12,X,NA,NA,NA,NA,NA
Blue-01,1,CHCH7,24.4,X,NA,NA,NA,NA,NA
Blue-01,5,LIDE3,21.3,X,NA,NA,NA,NA,NA
Blue-01,5,LIDE3,12.7,X,NA,NA,NA,NA,NA
Blue-01,9,LIDE3,16.5,X,NA,NA,NA,NA,NA
Blue-01,9,LIDE3,15.1,X,NA,NA,NA,NA,NA
Blue-01,9,CHCH7,43.5,X,NA,NA,NA,NA,NA
Blue-02,2,ACMA3,22.3,X,NA,NA,NA,NA,NA
Blue-02,2,QUCH2,16.8,X,NA,NA,NA,NA,NA
Blue-02,3,NONE,NA,NA,NA,NA,NA,NA,NA
Blue-02,4,PSME,47.8,X,NA,NA,NA,NA,NA
Blue-02,4,PSME,65.6,X,NA,NA,NA,NA,NA
Blue-02,6,PSME,12.4,X,NA,NA,NA,NA,NA
Blue-02,6,PSME,41.5,X,NA,NA,NA,NA,NA
Blue-02,7,PSME,51.7,X,NA,NA,NA,NA,NA
Blue-02,7,PSME,39.4,X,NA,NA,NA,NA,NA
Blue-02,7,PSME,81.3,X,NA,NA,NA,NA,NA
Blue-02,8,ARME,52.5,X,NA,NA,NA,NA,NA
Blue-02,8,ARME,31.1,X,NA,NA,NA,NA,NA
Blue-02,1,ARME,38.4,X,NA,NA,NA,NA,NA
Blue-02,1,PSME,12.8,X,NA,NA,NA,NA,NA
Blue-02,1,QUKE,15.1,X,NA,NA,NA,NA,NA
Blue-02,1,QUKE,22.7,X,NA,NA,NA,NA,NA
Blue-02,5,PSME,113.5,X,NA,NA,NA,NA,NA
Blue-02,9,PSME,12.9,X,NA,NA,NA,NA,NA
IAE-01,2,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-01,1,PSME,63.7,X,NA,NA,NA,NA,NA
IAE-01,1,QUCH2,12.2,X,NA,NA,NA,NA,NA
IAE-01,4,QUCH2,15.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,16.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,20.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,14.7,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,13.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,18.5,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,18.8,X,NA,NA,NA,NA,NA
IAE-01,6,PSME,33.2,X,NA,NA,NA,NA,NA
IAE-01,6,QUCH2,18,X,NA,NA,NA,NA,NA
IAE-01,8,QUCH2,33.5,X,NA,NA,NA,NA,NA
IAE-01,3,QUCH2,24.5,X,NA,NA,NA,NA,NA
IAE-01,5,PSME,48.2,X,NA,NA,NA,NA,NA
IAE-01,7,PSME,57.9,X,NA,NA,NA,NA,NA
IAE-01,7,QUKE,16.5,X,NA,NA,NA,NA,NA
IAE-01,7,QUKE,27.2,X,NA,NA,NA,NA,NA
IAE-01,7,PILA,55.4,X,NA,NA,NA,NA,NA
IAE-01,7,PILA,33.4,X,NA,NA,NA,NA,NA
IAE-01,7,PILA,13.8,X,NA,NA,NA,NA,NA
IAE-02,7,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-02,6,PSME,63,X,NA,NA,NA,NA,NA
IAE-02,6,PSME,70,X,NA,NA,NA,NA,NA
IAE-02,3,PSME,76,X,NA,NA,NA,NA,NA
IAE-02,3,QUCH2,13,X,NA,NA,NA,NA,NA
IAE-02,2,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-02,8,PSME,81,X,NA,NA,NA,NA,NA
IAE-02,8,PSME,72,X,NA,NA,NA,NA,NA
IAE-02,4,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-02,1,PSME,51,X,NA,NA,NA,NA,NA
IAE-02,1,QUCH2,20,X,NA,NA,NA,NA,NA
IAE-02,5,PSME,71,X,NA,NA,NA,NA,NA
IAE-02,9,QUCH2,20,X,NA,NA,NA,NA,NA
IAE-01,1,ARME,14.7,X,NA,NA,NA,NA,NA
IAE-01,1,ARME,19.1,X,NA,NA,NA,NA,NA
IAE-01,5,ARME,22.9,X,NA,NA,NA,NA,NA
IAE-01,9,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-01,3,ARME,19.3,X,NA,NA,NA,NA,NA
IAE-01,3,ARME,15.4,X,NA,NA,NA,NA,NA
IAE-01,3,PSME,13.8,X,NA,NA,NA,NA,NA
IAE-01,3,ARME,19.4,X,NA,NA,NA,NA,NA
IAE-01,6,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-01,2,ARME,22.5,X,NA,NA,NA,NA,NA
IAE-01,2,ARME,27.4,X,NA,NA,NA,NA,NA
IAE-01,4,ARME,23.7,X,NA,NA,NA,NA,NA
IAE-01,4,ARME,15.6,X,NA,NA,NA,NA,NA
IAE-01,4,PSME,23.1,X,NA,NA,NA,NA,NA
IAE-01,7,PSME,75.2,X,NA,NA,NA,NA,NA
IAE-01,8,PIPO,43.5,X,NA,NA,NA,NA,NA
BWC-01,7,PSME,15.6,X,NA,NA,NA,NA,NA
BWC-01,7,PSME,21.6,X,NA,NA,NA,NA,NA
BWC-01,7,PSME,79.6,X,NA,NA,NA,NA,NA
BWC-01,7,QUKE,26.6,X,NA,NA,NA,NA,NA
