Plot,Line,LogNum,Diam,DecayClass,Notes
Blue-01,1,1,10,2,NA
Blue-01,1,2,8,1,NA
Blue-01,1,3,16,1,NA
Blue-01,1,4,50,2,NA
Blue-01,1,5,75,2,NA
Blue-01,2,1,45,2,NA
Blue-02,1,1,25,2,NA
Blue-02,1,2,25,2,NA
Blue-02,1,3,13,2,NA
Blue-02,1,4,9,2,NA
Blue-02,1,5,17,2,NA
Blue-02,1,6,10,2,NA
Blue-02,1,7,15,2,NA
Blue-02,1,8,15,2,NA
Blue-02,1,9,25,2,NA
Blue-02,1,10,14,2,NA
Blue-02,1,11,10,2,NA
Blue-02,1,12,17,2,NA
Blue-02,1,13,8,2,NA
Blue-02,1,14,15,1,NA
Blue-02,1,15,10,2,NA
Blue-02,1,16,20,2,NA
Blue-02,1,17,25,2,NA
Blue-02,1,18,8,2,NA
Blue-02,1,19,44,1,NA
Blue-02,1,20,29,1,NA
Blue-02,1,21,14,2,NA
Blue-02,1,22,12,2,NA
Blue-02,2,1,8,3,NA
Blue-02,2,2,13,2,NA
Blue-02,2,3,19,2,NA
Blue-02,2,4,11,2,NA
Blue-02,2,5,15,2,NA
Blue-02,2,6,13,2,NA
Blue-02,2,7,14,2,NA
Blue-02,2,8,16,2,NA
Blue-02,2,9,16,2,NA
Blue-02,2,10,12,2,NA
Blue-02,2,11,11,2,NA
Blue-02,2,12,15,2,NA
Blue-02,2,13,39,1,NA
Blue-02,2,14,15,2,NA
Blue-02,2,15,14,2,NA
Blue-02,2,16,14,2,NA
Blue-02,2,17,11,2,NA
Blue-02,2,18,8,2,NA
Blue-02,2,19,11,2,NA
Blue-02,2,20,17,2,NA
IAE-01,1,1,27,4,NA
IAE-01,1,2,9,3,NA
IAE-01,1,3,9,2,NA
IAE-01,2,1,8,3,NA
IAE-01,2,2,11,2,NA
IAE-01,2,3,26.5,2,NA
IAE-01,2,4,12,3,NA
IAE-01,2,5,12,3,NA
IAE-02,1,1,25,2,NA
IAE-02,1,2,10,2,NA
IAE-02,2,1,20,1,NA
IAE-02,2,2,30,2,NA
IAE-02,2,3,20,1,NA
IAE-02,2,4,20.5,2,NA
IAE-02,2,5,30,1,NA
IAE-02,2,6,40,2,NA
IAE-02,2,7,16,3,NA
IAB-01,1,1,28,2,NA
IAB-01,1,2,22.3,3,NA
IAB-01,2,1,22,1,NA
IAB-01,2,2,36,2,NA
IAB-01,2,3,7.7,1,NA
IAB-01,2,4,22.3,2,NA
IAB-01,2,5,8.1,2,NA
IAB-01,2,6,12,3,NA
IAB-01,2,7,11.1,2,NA
IAB-01,2,8,9.4,2,NA
IAB-01,2,9,8.3,2,NA
BWC-01,1,1,20.5,1,NA
BWC-01,1,2,9.4,1,NA
BWC-01,1,3,11.8,2,NA
BWC-01,1,4,34,1,NA
BWC-01,1,5,13.7,1,NA
BWC-01,1,6,27,1,NA
BWC-01,1,7,36,1,NA
BWC-01,1,8,16,1,NA
BWC-01,1,9,35,2,NA
BWC-01,1,10,29,2,NA
BWC-01,2,1,14,2,NA
BWC-01,2,2,19,2,NA
BWC-01,2,3,16,3,NA
BWC-01,2,4,10,3,NA
BWC-01,2,5,17,2,NA
BWC-01,2,6,17,2,NA
BWC-01,2,7,12,3,NA
BWC-01,2,8,19,3,NA
BWC-01,2,9,38,3,NA
BWU-01,1,1,30,1,NA
BWU-01,1,2,29,1,NA
BWU-01,1,3,13,2,NA
BWU-01,1,4,20,1,NA
BWU-01,1,5,21,2,NA
BWU-01,1,6,16,2,NA
BWU-01,2,1,28,2,NA
BWU-01,2,2,16,2,NA
BWU-01,2,3,34,2,NA
BWU-01,2,4,28,2,NA
BWU-01,2,5,12,2,NA
BWU-01,2,6,19,2,NA
BWU-02,1,1,17,1,NA
BWU-02,1,2,11,2,NA
BWU-02,1,3,8,2,NA
BWU-02,1,4,29,2,NA
BWU-02,1,5,24,2,NA
BWU-02,1,6,49,4,NA
BWU-02,1,7,9,3,NA
BWU-02,1,8,14,2,NA
BWU-02,1,9,23,2,NA
BWU-02,1,10,13,2,NA
BWU-02,2,1,32,2,NA
BWU-02,2,2,28,2,NA
BWU-02,2,3,8,2,NA
BWU-02,2,4,22,2,NA
BWU-02,2,5,15,2,NA
BWU-02,2,6,20,2,NA
BWU-02,2,7,27,2,NA
BWU-02,2,8,20,2,NA
PTR-02,1,1,14,2,NA
PTR-02,1,2,16,1,NA
PTR-02,1,3,21,3,NA
PTR-02,1,4,8,2,NA
PTR-02,1,5,8,3,NA
PTR-02,2,1,10,2,NA
PTR-02,2,2,34,2,NA
PTR-02,2,3,43,2,NA
PTR-02,2,4,29,2,NA
PTR-02,2,5,48,2,NA
PTR-02,2,6,8,3,NA
PTR-02,2,7,16.8,2,NA
PTR-02,2,8,21.2,1,NA
PTR-02,2,9,19.8,1,NA
PTR-02,2,10,23.5,2,NA
PTR-02,2,11,17,2,NA
PTR-02,2,12,21,2,NA
PTR-02,2,13,12.3,2,NA
PTR-02,2,14,11,3,NA
PTR-02,2,15,16.3,1,NA
PTR-02,2,16,13.4,2,NA
PTR-02,2,17,7.9,1,NA
PTR-02,2,18,8.5,2,NA
LG-01,1,1,12,2,NA
LG-01,1,2,8,2,NA
LG-01,1,3,20,2,NA
LG-01,1,4,19,1,NA
LG-01,1,5,12,2,NA
LG-01,1,6,13,2,NA
LG-01,1,7,12,2,NA
LG-01,1,8,24,2,NA
LG-01,1,9,15,2,NA
LG-01,1,10,26,2,NA
LG-01,1,11,22,2,NA
LG-01,1,12,20,2,NA
LG-01,1,13,8,2,NA
LG-01,2,1,12,2,NA
LG-01,2,2,25,1,NA
LG-01,2,3,16,2,NA
LG-01,2,4,22,1,NA
LG-01,2,5,8,2,NA
LG-01,2,6,18,4,NA
LG-01,2,7,8,2,NA
LG-01,2,8,30,1,NA
LG-01,2,9,8,2,NA
LG-01,2,10,9,2,NA
LG-01,2,11,18,2,NA
LG-01,2,12,9,2,NA
LG-01,2,13,25,1,NA
LG-01,2,14,10,2,NA
LG-01,2,15,10,2,NA
ORL-01,1,1,12,3,NA
ORL-01,1,2,11,2,NA
ORL-01,2,1,22,2,NA
ORL-01,2,2,8,2,NA
ORL-01,2,3,18,3,NA
ORL-01,2,4,10,2,NA
ORL-01,2,5,8,2,NA
ORL-01,2,6,13,2,NA
ORL-01,2,7,26,3,NA
ORL-01,2,8,9,2,NA
ORL-01,2,9,10,2,NA
ORL-01,2,10,8,2,NA
ORL-01,2,11,23,1,NA
ORL-01,2,12,12,2,NA
ORL-01,2,13,8,1,NA
ORL-01,2,14,11,3,NA
ORL-01,2,15,8,1,NA
ORL-01,2,16,12,1,NA
PAN-01,1,1,17,2,NA
PAN-01,1,2,18,2,NA
PAN-01,1,3,11,2,NA
PAN-01,1,4,20,1,NA
PAN-01,1,5,8,2,NA
PAN-01,1,6,20,3,NA
PAN-01,2,1,10,2,NA
PAN-01,2,2,9,2,NA
PAN-01,2,3,8,2,NA
PAN-01,2,4,16,1,NA
PAN-01,2,5,27,1,NA
PAN-02,1,1,8.7,2,NA
PAN-02,1,2,9.6,2,NA
PAN-02,1,3,8.5,1,NA
PAN-02,1,4,10.5,1,NA
PAN-02,1,5,8,3,NA
PAN-02,1,6,39,3,NA
PAN-02,1,7,8.5,3,NA
PAN-02,1,8,8,3,NA
PAN-02,2,1,9,2,NA
PAN-02,2,2,12,3,NA
PAN-02,2,3,12,3,NA
PAN-02,2,4,12.8,3,NA
PAN-02,2,5,20,3,NA
PAN-02,2,6,8,3,NA
PAN-02,2,7,23,3,NA
PAN-02,2,8,10,3,NA
PAN-02,2,9,15,3,NA
PAN-02,2,10,13,3,NA
PAN-02,2,11,8,3,NA
PAN-02,2,12,12,2,NA
PAN-02,2,13,12,3,NA
PAN-03,1,1,10,2,NA
PAN-03,1,2,13,2,NA
PAN-03,1,3,20,3,NA
PAN-03,1,4,25,3,NA
PAN-03,1,5,18,2,NA
PAN-03,2,1,22,2,NA
PAN-03,2,2,19,2,NA
PAN-03,2,3,25,2,NA
PAN-03,2,4,11,3,NA
PAN-03,2,5,50,3,NA
PAN-03,2,6,20,3,NA
PAN-03,2,7,30,1,NA
LOM-01,1,1,21.3,2,NA
LOM-01,1,2,14.9,3,NA
LOM-01,1,3,8.9,2,NA
LOM-01,1,4,7.7,2,NA
LOM-01,2,1,8.9,2,NA
LOM-01,2,2,10,4,NA
LOM-01,2,3,30,2,NA
LOM-01,2,4,27.9,2,NA
LOM-02,1,1,10,2,NA
LOM-02,1,2,10,2,NA
LOM-02,1,3,15,3,NA
LOM-02,1,4,13.5,3,NA
LOM-02,1,5,11,3,NA
LOM-02,1,6,8.5,2,NA
LOM-02,1,7,24,3,NA
LOM-02,1,8,14,2,NA
LOM-02,1,9,10,3,NA
LOM-02,1,10,17,2,NA
LOM-02,1,11,10,1,NA
LOM-02,1,12,11,2,NA
LOM-02,1,13,9,2,NA
LOM-02,2,1,14,1,NA
LOM-02,2,2,28,2,NA
LOM-02,2,3,20,1,NA
LOM-02,2,4,13,1,NA
LOM-02,2,5,17,1,NA
LOM-02,2,6,18,1,NA
LOM-02,2,7,16,1,NA
LOM-02,2,8,10,2,NA
LOM-02,2,9,8,2,NA
LOM-02,2,10,12,2,NA
