Plot,Line,LogNum,Diam,DecayClass,Notes
STN-01,1,1,60,2,NA
STN-01,1,2,10,2,NA
STN-01,1,3,14,2,NA
STN-01,1,4,28,1,NA
STN-01,1,5,10,3,NA
STN-01,1,6,10,2,NA
STN-01,1,7,32,2,NA
STN-01,1,8,12,2,NA
STN-01,1,9,9,2,NA
STN-01,2,1,10,3,NA
STN-01,2,2,12,2,NA
STN-01,2,3,8,2,NA
STN-01,2,4,22,2,NA
STN-01,2,5,10,2,NA
STN-01,2,6,10,2,NA
STN-01,2,7,14,2,NA
STN-03,1,1,10,3,NA
STN-03,1,2,10,3,NA
STN-03,1,3,12,3,NA
STN-03,1,4,11,3,NA
STN-03,1,5,13,2,NA
STN-03,1,6,13,3,NA
STN-03,1,7,11,3,NA
STN-03,1,8,11,3,NA
STN-03,1,9,9,3,NA
STN-03,1,10,8,3,NA
STN-03,1,11,23,3,NA
STN-03,1,12,43,2,NA
STN-03,1,13,16,3,NA
STN-03,1,14,11,3,NA
STN-03,1,15,7,3,NA
STN-03,1,16,7,3,NA
STN-03,1,17,6,3,NA
STN-03,1,18,6,3,NA
STN-03,1,19,6,3,NA
STN-03,1,20,14,3,NA
STN-03,1,21,8,3,NA
STN-03,1,22,20,3,NA
STN-03,1,23,11,3,NA
STN-03,1,24,17,3,NA
STN-03,1,25,24,3,NA
STN-03,1,26,18,3,NA
STN-03,1,27,22,3,NA
STN-03,1,28,12,3,NA
STN-03,1,29,10,3,NA
STN-03,2,1,31,1,only sampled 15 m of this line due to bee hive
STN-03,2,2,19,2,NA
STN-03,2,3,12,2,NA
STN-03,2,4,12,2,NA
STN-03,2,5,27,2,NA
STN-03,2,6,13,2,NA
BIS-01,1,1,11,3,NA
BIS-01,1,2,18.5,3,NA
BIS-01,1,3,51,2,NA
BIS-01,1,4,12,2,NA
BIS-01,1,5,20.5,2,NA
BIS-01,1,6,28,2,NA
BIS-01,2,1,8.8,2,NA
BIS-01,2,2,9.4,3,NA
BIS-01,2,3,10.3,3,NA
BIS-01,2,4,11.1,3,NA
BIS-01,2,5,14,4,NA
BIS-01,2,6,9.5,4,NA
BIS-01,2,7,10.5,3,NA
BIS-01,2,8,13,3,NA
BIS-01,2,9,15,3,NA
BIS-01,2,10,18,4,NA
BIS-01,2,11,17.8,3,NA
BIS-01,2,12,18.5,3,NA
BIS-02,1,1,10.2,2,NA
BIS-02,1,2,14.3,3,NA
BIS-02,1,3,16.3,3,NA
BIS-02,1,4,21.5,2,NA
BIS-02,1,5,9.8,3,NA
BIS-02,1,6,11.2,2,NA
BIS-02,1,7,35,3,NA
BIS-02,1,8,10.8,2,NA
BIS-02,2,1,10.6,3,NA
BIS-02,2,2,8.5,2,NA
BIS-02,2,3,15,2,NA
BIS-02,2,4,9.5,2,NA
BIS-02,2,5,18.2,2,NA
BIS-02,2,6,9.4,2,NA
BIS-02,2,7,9,3,NA
BIS-02,2,8,17.7,2,NA
BIS-02,2,9,29,4,NA
BIS-02,2,10,11.4,2,NA
BIS-02,2,11,14.6,2,NA
BIS-02,2,12,8.3,2,NA
BIS-02,2,13,11.1,2,NA
BIS-03,1,1,10.5,2,NA
BIS-03,1,2,8.3,3,NA
BIS-03,1,3,19,3,NA
BIS-03,1,4,9.5,2,NA
BIS-03,1,5,32,2,NA
BIS-03,1,6,14.2,3,NA
BIS-03,1,7,16,3,NA
BIS-03,1,8,9.7,2,NA
BIS-03,1,9,16.8,2,NA
BIS-03,1,10,16,2,NA
BIS-03,1,11,20,2,NA
BIS-03,1,12,11,3,NA
BIS-03,1,13,12.5,2,NA
BIS-03,1,14,13.9,3,NA
BIS-03,1,15,15.1,2,NA
BIS-03,1,16,8.5,3,NA
BIS-03,1,17,20.3,2,NA
BIS-03,1,18,22,2,NA
BIS-03,1,19,8,2,NA
BIS-03,1,20,12,2,NA
BIS-03,2,1,15,2,NA
BIS-03,2,2,15.1,2,NA
BIS-03,2,3,73,2,NA
BIS-03,2,4,9.8,3,NA
BIS-03,2,5,18,2,NA
BIS-03,2,6,24,3,NA
BIS-03,2,7,16.2,3,NA
BIS-03,2,8,9,3,NA
BIS-03,2,9,10,3,NA
BIS-04,1,1,12,2,NA
BIS-04,1,2,11,2,NA
BIS-04,1,3,18,1,NA
BIS-04,1,4,35,3,NA
BIS-04,1,5,11,2,NA
BIS-04,1,6,13,2,NA
BIS-04,1,7,10,2,NA
BIS-04,1,8,15,2,NA
BIS-04,1,9,18,2,NA
BIS-04,2,1,8.9,2,NA
BIS-04,2,2,23.5,3,NA
BIS-04,2,3,100,2,NA
BIS-04,2,4,8.6,3,NA
BIS-04,2,5,8,2,NA
BIS-04,2,6,8.4,2,NA
BIS-04,2,7,12.7,2,NA
BIS-04,2,8,10,2,NA
BIS-04,2,9,18.2,2,NA
BIS-04,2,10,15.5,2,NA
BIS-04,2,11,14.1,2,NA
BIS-04,2,12,10.1,2,NA
BIS-04,2,13,34.5,4,NA
BIS-04,2,14,29,2,NA
BIS-04,2,15,7.7,2,NA
BIS-04,2,16,7.9,3,NA
BIS-04,2,17,29.2,2,NA
BIS-04,2,18,24,2,NA
BIS-04,2,19,31,3,NA
BIS-04,2,20,16.3,2,NA
BIS-05,1,1,10,4,NA
BIS-05,1,2,13,3,NA
BIS-05,1,3,9.1,3,NA
BIS-05,1,4,8.5,3,NA
BIS-05,1,5,9,3,NA
BIS-05,1,6,8,3,NA
BIS-05,1,7,10.5,3,NA
BIS-05,1,8,9.1,3,NA
BIS-05,1,9,12,3,NA
BIS-05,2,1,34,2,NA
BIS-05,2,2,12,3,NA
BIS-05,2,3,11,3,NA
BIS-05,2,4,12,3,NA
BIS-05,2,5,40,2,NA
BIS-05,2,6,12.5,3,NA
BIS-05,2,7,8.1,3,NA
BIS-06,1,1,11.5,1,NA
BIS-06,1,2,19,1,NA
BIS-06,1,3,50,3,NA
BIS-06,2,1,18,1,NA
BIS-06,2,2,12,1,NA
BIS-07,1,1,7.8,2,NA
BIS-07,1,2,11,2,NA
BIS-07,1,3,9,2,NA
BIS-07,1,4,12.3,2,NA
BIS-07,1,5,16,2,NA
BIS-07,1,6,15,2,NA
BIS-07,1,7,9.7,2,NA
BIS-07,1,8,10.6,2,NA
BIS-07,1,9,16.7,2,NA
BIS-07,1,10,11.1,2,NA
BIS-07,1,11,15.7,2,NA
BIS-07,1,12,17,2,NA
BIS-07,1,13,13.4,2,NA
BIS-07,1,14,28,2,NA
BIS-07,1,15,13,2,NA
BIS-07,1,16,9.6,2,NA
BIS-07,2,1,14,2,NA
BIS-07,2,2,9.7,2,NA
BIS-07,2,3,16,2,NA
BIS-07,2,4,12,2,NA
BIS-07,2,5,15,2,NA
BIS-07,2,6,25.3,2,NA
BIS-07,2,7,20.9,2,NA
BIS-07,2,8,25,2,NA
BIS-07,2,9,9.4,3,NA
BIS-07,2,10,9.9,2,NA
BIS-07,2,11,36,2,NA
BIS-10,1,1,52,2,NA
BIS-10,1,2,9,2,NA
BIS-10,1,3,8,2,NA
BIS-10,1,4,30,2,NA
BIS-10,1,5,16,2,NA
BIS-10,1,6,11,2,NA
BIS-10,1,7,22,1,NA
BIS-10,1,8,30,1,NA
BIS-10,2,1,40,4,NA
BIS-10,2,2,38,3,NA
BIS-10,2,3,8,2,NA
BIS-10,2,4,8,2,NA
BIS-10,2,5,8,2,NA
BIS-10,2,6,8,2,NA
BIS-10,2,7,10,2,NA
BIS-10,2,8,10,2,NA
BIS-10,2,9,10,2,NA
BIS-10,2,10,8,2,NA
BIS-10,2,11,12,2,NA
BIS-10,2,12,11,2,NA
BIS-10,2,13,9,3,NA
BIS-10,2,14,10,2,NA
BIS-10,2,15,10,2,NA
BIS-10,2,16,10,2,NA
BIS-10,2,17,10,2,NA
BIS-10,2,18,11,2,NA
BIS-10,2,19,32,2,NA
BIS-10,2,20,20,2,NA
BIS-11,2,1,19,3,NA
BIS-12,1,1,17,1,NA
BIS-12,1,2,20,2,NA
BIS-12,1,3,16,2,NA
BIS-12,1,4,10,2,NA
BIS-12,2,1,20,2,NA
BIS-12,2,2,16,2,NA
BIS-12,2,3,20,2,NA
BIS-12,2,4,22,2,NA
BIS-12,2,5,22,2,NA
BIS-12,2,6,10,2,NA
HCS-01,1,1,36,2,NA
HCS-01,1,2,12,4,NA
HCS-01,1,3,9,2,NA
HCS-01,1,4,10,3,NA
HCS-01,1,5,11,2,NA
HCS-01,1,6,35,2,NA
HCS-01,1,7,30,2,NA
HCS-01,1,8,56,2,NA
HCS-01,1,9,29,2,NA
HCS-01,1,10,12,2,NA
HCS-01,2,1,49,2,NA
HCS-01,2,2,28,2,NA
HCS-01,2,3,28,2,NA
HCS-01,2,4,22,2,NA
HCS-01,2,5,44,3,NA
HCS-01,2,6,45,3,NA
HCS-01,2,7,18,2,NA
HCS-01,2,8,36,3,NA
HCS-01,2,9,31,3,NA
HCS-01,2,10,34,3,NA
HCS-02,1,1,12.1,2,NA
HCS-02,1,2,9.4,2,NA
HCS-02,1,3,30,2,NA
HCS-02,1,4,15.4,2,NA
HCS-02,1,5,25,2,NA
HCS-02,1,6,16,3,NA
HCS-02,1,7,9.5,2,NA
HCS-02,1,8,11.5,3,NA
HCS-02,1,9,14.8,2,NA
HCS-02,1,10,15,2,NA
HCS-02,1,11,9.2,2,NA
HCS-02,1,12,9.8,2,NA
HCS-02,1,13,15,2,NA
HCS-02,1,14,15.2,2,NA
HCS-02,1,15,11.5,3,NA
HCS-02,1,16,8.3,2,NA
HCS-02,1,17,38.1,1,NA
HCS-02,2,1,38.4,2,NA
HCS-02,2,2,26.7,1,NA
HCS-02,2,3,19.5,1,NA
HCS-02,2,4,14,1,NA
HCS-02,2,5,17,1,NA
HCS-02,2,6,34,2,NA
HCS-02,2,7,33,2,NA
HCS-02,2,8,14.5,2,NA
HCS-02,2,9,27.1,3,NA
HCS-02,2,10,13.1,3,NA
HCS-02,2,11,11,2,NA
HCS-02,2,12,26,3,NA
HCS-02,2,13,7.7,1,NA
HCS-02,2,14,22,1,NA
HCS-02,2,15,32,2,NA
HCS-02,2,16,10.2,2,NA
HCS-02,2,17,23.2,1,NA
HCS-02,2,18,42.5,2,NA
HCS-04,1,1,16,3,NA
HCS-04,1,2,19,3,NA
HCS-04,2,1,10,2,NA
HCS-04,2,2,10,2,NA
HCS-04,2,3,14,2,NA
HCS-04,2,4,21,2,NA
HCS-06,1,1,12,2,NA
HCS-06,1,2,22,4,NA
HCS-06,1,3,18,2,NA
HCS-06,1,4,12,2,NA
HCS-06,1,5,21,2,NA
HCS-06,1,6,26,2,NA
HCS-06,1,7,22,4,NA
HCS-06,1,8,36,3,NA
HCS-06,1,9,9,2,NA
HCS-06,1,10,9,2,NA
HCS-06,1,11,11,2,NA
HCS-06,1,12,13,2,NA
HCS-06,1,13,22,3,NA
HCS-06,1,14,11,2,NA
HCS-06,2,1,20,5,NA
HCS-06,2,2,11,3,NA
HCS-06,2,3,50,5,NA
HCS-06,2,4,20,5,NA
HCS-06,2,5,25,5,NA
HCS-06,2,6,20,2,NA
HCS-06,2,7,28,2,NA
HCS-06,2,8,8,3,NA
HCS-06,2,9,20,2,NA
HCS-06,2,10,15,4,NA
HCS-06,2,11,31,4,NA
HCS-06,2,12,15,3,NA
HCS-06,2,13,15,3,NA
HCS-06,2,14,28,3,NA
HCS-06,2,15,20,5,NA
HCS-06,2,16,10,3,NA
HCS-06,2,17,37,4,NA
HCS-06,2,18,15,4,NA
QTZ-01,1,1,13,3,NA
QTZ-01,1,2,26.3,3,NA
QTZ-01,1,3,12,3,NA
QTZ-01,1,4,8,3,NA
QTZ-01,1,5,19,3,NA
QTZ-01,1,6,8.5,3,NA
QTZ-01,1,7,10,2,NA
QTZ-01,1,8,9,3,NA
QTZ-01,1,9,11,3,NA
QTZ-01,1,10,10,3,NA
QTZ-01,1,11,10,3,NA
QTZ-01,1,12,10,3,NA
QTZ-01,1,13,8.5,3,NA
QTZ-01,1,14,65,2,NA
QTZ-01,2,1,11,4,NA
QTZ-01,2,2,22,2,NA
QTZ-01,2,3,9,3,NA
QTZ-01,2,4,19,3,NA
QTZ-01,2,5,11,3,NA
QTZ-01,2,6,16,3,NA
QTZ-01,2,7,8.5,3,NA
QTZ-02,1,1,12.3,1,NA
QTZ-02,1,2,43,3,NA
QTZ-02,1,3,45,3,NA
QTZ-02,1,4,16.5,2,NA
QTZ-02,1,5,12.5,2,NA
QTZ-02,1,6,39,3,NA
QTZ-02,1,7,51,3,NA
QTZ-02,1,8,12.5,4,NA
QTZ-02,1,9,15.1,4,NA
QTZ-02,1,10,28,4,NA
QTZ-02,1,11,13,4,NA
QTZ-02,1,12,24,4,NA
QTZ-02,1,13,14.5,5,NA
QTZ-02,2,1,46.5,4,NA
QTZ-02,2,2,10.8,5,NA
QTZ-02,2,3,7.7,3,NA
QTZ-02,2,4,32.5,3,NA
QTZ-02,2,5,17.5,3,NA
QTZ-02,2,6,38,3,NA
QTZ-02,2,7,41,2,NA
QTZ-02,2,8,12.5,2,NA
QTZ-02,2,9,23.5,3,NA
QTZ-02,2,10,29,3,NA
QTZ-02,2,11,26.5,4,NA
QTZ-02,2,12,11.5,4,NA
QTZ-02,2,13,20.5,3,NA
QTZ-02,2,14,10.2,3,NA
REP-01,1,1,10,2,NA
REP-01,2,1,17,2,NA
REP-01,2,2,11,2,NA
REP-01,2,3,30,3,NA
REP-01,2,4,11,2,NA
REP-01,2,5,13,2,NA
REP-02,1,1,9.5,3,NA
REP-02,1,2,15,3,NA
REP-02,1,3,10.6,3,NA
REP-02,1,4,11,4,NA
REP-02,1,5,16.3,3,NA
REP-02,1,6,10,3,NA
REP-02,2,1,13,2,NA
REP-02,2,2,16,3,NA
REP-02,2,3,11,3,NA
REP-02,2,4,10,2,NA
REP-02,2,5,10,2,NA
BBM-01,1,1,91,3,NA
BBM-01,1,2,15.4,3,NA
BBM-01,1,3,7.7,3,NA
BBM-01,1,4,13.2,4,NA
BBM-01,1,5,13.2,2,NA
BBM-01,1,6,10,3,NA
BBM-01,1,7,8.4,2,NA
BBM-01,1,8,8.7,2,NA
BBM-01,1,9,12.1,2,NA
BBM-01,1,10,36,2,NA
BBM-01,2,1,9.4,1,NA
BBM-01,2,2,8.2,1,NA
BBM-01,2,3,16,4,NA
BBM-01,2,4,10.8,2,NA
BBM-01,2,5,10,2,NA
BBM-01,2,6,9.1,3,NA
BBM-01,2,7,10.9,2,NA
BBM-01,2,8,11,4,NA
BBM-01,2,9,10.8,2,NA
BBM-02,1,1,12.5,1,NA
BBM-02,1,2,18.5,1,NA
BBM-02,1,3,16,2,NA
BBM-02,1,4,11,1,NA
BBM-02,1,5,17,2,NA
BBM-02,1,6,85,2,NA
BBM-02,1,7,15,2,NA
BBM-02,1,8,13,2,NA
BBM-02,1,9,19,2,NA
BBM-02,1,10,25,3,NA
BBM-02,1,11,13,2,NA
BBM-02,1,12,13,1,NA
BBM-02,1,13,9,2,NA
BBM-02,1,14,18,2,NA
BBM-02,2,1,67,3,NA
BBM-02,2,2,21,2,NA
BBM-02,2,3,33,2,NA
BBM-03,1,1,10.5,3,NA
BBM-03,1,2,18,3,NA
BBM-03,1,3,12,3,NA
BBM-03,1,4,10,3,NA
BBM-03,1,5,18,3,NA
BBM-03,1,6,10,3,NA
BBM-03,1,7,14,3,NA
BBM-03,1,8,11,3,NA
BBM-03,1,9,20,3,NA
BBM-03,2,1,21,4,NA
BBM-03,2,2,20,3,NA
BBM-03,2,3,8.2,NA,decay class not recorded
BBO-01,1,1,15,2,NA
BBO-01,1,2,57,3,NA
BBO-01,1,3,50,3,NA
BBO-01,1,4,19,2,NA
BBO-01,1,5,10,2,NA
BBO-01,1,6,13,2,NA
BBO-01,2,1,8,2,NA
BBO-01,2,2,10,3,NA
BBO-01,2,3,60,3,NA
BBO-01,2,4,13,2,NA
BBO-01,2,5,10,2,NA
BBO-01,2,6,10,3,NA
BBO-01,2,7,16,3,NA
BBO-01,2,8,9,3,NA
BBO-01,2,9,9,3,NA
BBO-01,2,10,42,3,NA
BBO-01,2,11,20,4,NA
SPE-01,1,1,11,2,NA
SPE-01,1,2,20,3,NA
SPE-01,1,3,33,3,NA
SPE-01,1,4,18,2,NA
SPE-01,1,5,12,2,NA
SPE-01,1,6,18,3,NA
SPE-01,1,7,60,4,NA
SPE-01,1,8,16,2,NA
SPE-01,1,9,60,3,NA
SPE-01,1,10,12,2,NA
SPE-01,1,11,25,3,NA
SPE-01,1,12,10,3,NA
SPE-01,1,13,11,2,NA
SPE-01,1,14,10,2,NA
SPE-01,1,15,35,3,NA
SPE-01,2,1,12,2,NA
SPE-01,2,2,24,2,NA
SPE-01,2,3,12,2,NA
SPE-01,2,4,80,3,NA
SPE-01,2,5,12,3,NA
SPE-01,2,6,18,3,NA
SPE-01,2,7,13,2,NA
SPE-01,2,8,23,3,NA
SPE-01,2,9,12,3,NA
SPE-02,1,1,17,2,NA
SPE-02,1,2,41,4,NA
SPE-02,1,3,25,2,NA
SPE-02,1,4,15,2,NA
SPE-02,1,5,47,2,NA
SPE-02,2,1,23,3,NA
SPE-02,2,2,69,3,NA
SPE-02,2,3,15,2,NA
SPE-02,2,4,29,4,NA
SPE-02,2,5,13,3,NA
SPE-02,2,6,9,3,NA
SPE-02,2,7,8,2,NA
SPE-03,1,1,12,3,NA
SPE-03,1,2,23,3,NA
SPE-03,1,3,30,4,NA
SPE-03,1,4,15,3,NA
SPE-03,1,5,9,2,NA
SPE-03,2,1,38,2,NA
SPE-03,2,2,11,3,NA
SPE-03,2,3,12,3,NA
SPE-03,2,4,27,4,NA
SPE-03,2,5,11,3,NA
SPE-04,1,1,9,2,NA
SPE-04,1,2,11.6,3,NA
SPE-04,1,3,34,4,NA
SPE-04,1,4,8.1,3,NA
SPE-04,1,5,12,3,NA
SPE-04,1,6,30.5,3,NA
SPE-04,1,7,8,3,NA
SPE-04,2,1,10,3,NA
SPE-04,2,2,9,3,NA
SPE-04,2,3,9,3,NA
SPE-04,2,4,87,3,NA
SPE-04,2,5,23,3,NA
Bear-01,1,1,23,4,NA
Bear-01,1,2,9,3,NA
Bear-01,1,3,10,2,NA
Bear-01,1,4,44,2,NA
Bear-01,1,5,22,2,NA
Bear-01,1,6,19,2,NA
Bear-01,1,7,9,2,NA
Bear-01,1,8,9,3,NA
Bear-01,1,9,27,2,NA
Bear-01,1,10,8,3,NA
Bear-01,1,11,16,2,NA
Bear-01,1,12,16,2,NA
Bear-01,1,13,33,2,NA
Bear-01,1,14,14,3,NA
Bear-01,2,1,12.6,2,NA
