Plot,Subplot,Species,DBH,Class,Height,CBH,Notes
Bear-01,2,PSME,6.2,D,3.75,0.75,NA
Bear-01,2,UMCA,2.4,C,1.75,0.5,NA
Bear-01,2,UMCA,1.7,C,2.2,0.5,NA
Bear-01,2,LIDE3,2.7,D,3,0.5,NA
Bear-01,2,LIDE3,3.7,D,3.25,0.25,NA
Bear-01,2,LIDE3,2.3,C,2.5,0.5,NA
Bear-01,2,LIDE3,1.7,D,2.5,0.5,NA
Bear-01,7,PSME,2.1,D,2.25,0.25,NA
Bear-01,7,PSME,3.3,D,3,0.5,NA
Bear-01,7,LIDE3,3.9,D,3,0,NA
Bear-01,7,LIDE3,2.2,D,2.5,0,NA
Bear-01,7,LIDE3,4.6,D,3,0.25,NA
Bear-01,7,LIDE3,2.6,C,2.25,0.25,NA
Bear-01,7,LIDE3,3.2,S,2.5,0.5,NA
Bear-01,7,LIDE3,3.7,D,2.75,0.25,NA
Bear-01,7,LIDE3,3.4,D,2.75,0.25,NA
Bear-01,7,LIDE3,2.7,D,2.25,0,NA
Bear-01,4,LIDE3,2.4,C,2.75,0.75,NA
Bear-01,4,LIDE3,5.6,D,4,1,NA
Bear-01,4,LIDE3,1.9,C,2.5,1.25,NA
Bear-01,4,LIDE3,1.7,I,2.25,1,NA
Bear-01,4,LIDE3,1.8,I,1.75,1,NA
Bear-01,4,LIDE3,2,C,2.5,1.25,NA
Bear-01,4,LIDE3,6.4,D,4.5,1.25,NA
Bear-01,4,LIDE3,2,C,3.75,1,NA
Bear-01,4,LIDE3,2.4,C,2.5,1,NA
Bear-01,4,LIDE3,7.2,D,5.25,1.25,NA
Bear-01,4,LIDE3,1.8,I,1.75,1,NA
Bear-01,4,LIDE3,1.9,C,2.5,1,NA
Bear-01,4,LIDE3,7.6,D,5,1.25,NA
Bear-01,4,LIDE3,1.6,I,2.25,1.25,NA
Bear-01,4,LIDE3,3.4,C,3,0.75,NA
Bear-01,4,LIDE3,6.6,D,4,1.25,NA
Bear-01,4,LIDE3,5,C,3,0.75,NA
Bear-01,4,LIDE3,5.7,D,3.5,0.75,NA
Bear-01,4,LIDE3,6.9,D,5.25,1.5,NA
Bear-01,4,LIDE3,4.9,C,3.5,1,NA
Bear-01,4,LIDE3,2.9,I,2.25,0.5,NA
Bear-01,4,LIDE3,3.4,I,2.75,0.5,NA
Bear-01,4,LIDE3,3.9,D,4.5,1,NA
Bear-01,4,PSME,2.2,I,3,0.75,NA
Bear-01,4,PSME,1.9,I,2.25,0.5,NA
Bear-01,4,PSME,3.5,D,3,0.75,NA
Bear-01,4,PSME,2.8,I,2.25,0.75,NA
Bear-01,4,PSME,4.6,D,3.5,1,NA
Bear-01,4,PSME,2.4,I,2.25,0.75,NA
Blue-01,2,LIDE3,7.6,X,NA,NA,NA
Blue-01,2,LIDE3,7.6,X,NA,NA,NA
Blue-01,2,LIDE3,2.9,X,NA,NA,NA
Blue-01,2,LIDE3,2.5,D,3,0,NA
Blue-01,2,LIDE3,2.9,D,3.25,0,NA
Blue-01,2,LIDE3,2.8,D,3.25,0,NA
Blue-01,2,LIDE3,3.1,D,3.25,0,NA
Blue-01,2,LIDE3,2.7,C,3,0,NA
Blue-01,2,LIDE3,2.1,C,2.25,0,NA
Blue-01,4,LIDE3,3,D,2.75,0,NA
Blue-01,4,LIDE3,1.9,C,2.25,0,NA
Blue-01,4,LIDE3,3,D,2.75,0,NA
Blue-01,4,LIDE3,11.2,X,NA,NA,NA
